Run,Score,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16
67,199,-0.49476,-0.08760,0.52148,0.26349,0.31268,-0.50935,0.57825,-0.01372,-1.10208,-0.27216,-0.75783,0.38203,0.65317,-0.21601,0.32122,-0.84452
68,199,-0.97470,0.23735,0.48679,-0.28126,-0.36797,-0.36264,0.14663,0.24627,-0.95179,-0.80835,-0.41449,1.18936,-0.38190,-0.69979,-0.32193,-0.40712
69,199,-0.70600,-0.66416,0.50232,-0.16497,-0.92259,-0.77989,-0.46335,-0.99861,-1.22773,-0.79670,-0.83493,0.98303,-0.50774,-0.84394,-1.00511,0.09216
70,199,0.70793,-0.48950,-0.73716,-0.19789,-0.53101,-1.05185,-1.03348,-0.88758,-0.55736,-1.62888,-0.02929,0.45262,0.28489,-0.57855,-0.08216,0.34245
71,198,-0.65705,-1.11884,0.16919,0.70329,0.02344,0.13445,-0.40642,-0.07564,-0.64728,-0.15052,0.83834,0.94895,-0.26673,-0.27526,-0.32371,-0.22867
72,198,-0.65654,0.11563,-0.72495,0.51684,-0.68881,-0.28924,1.01545,0.24497,-0.67167,-0.78384,-0.58841,0.81657,0.78924,-0.99703,0.78280,-0.42740
73,199,-0.27050,-0.08307,0.03901,0.05296,-0.56352,-0.81894,0.20288,-0.13095,-1.33755,0.54974,-0.27699,0.84007,0.39751,0.14372,-0.03389,-0.16361
74,199,-0.05870,-0.73861,-0.20128,-0.98948,-0.52167,0.37467,-0.56988,-0.10833,-0.95280,-0.94941,0.45367,0.89828,-0.90162,-0.15540,-0.30615,0.24485
75,199,-0.73477,0.31923,-0.91442,0.76947,-0.93711,-0.38082,-0.72768,-0.47125,-0.21454,-0.09046,-0.88528,0.19495,0.88920,0.10183,-0.98833,-0.45521
76,199,0.74630,0.02677,0.67992,0.59462,-0.92237,0.09347,-0.29541,-0.22462,-0.79078,-0.78286,-0.90522,-0.04119,0.47088,-0.19758,-0.23420,-0.38431
77,199,-0.62970,-0.65526,-0.12671,0.05717,-0.81751,-0.73004,0.54874,-0.13633,-0.98335,0.15381,-0.12475,0.23490,-0.27240,0.36741,-0.00692,-0.70577
78,199,0.38429,-1.21934,-0.58585,0.00772,-0.07667,-0.71601,-0.56059,-0.43068,-0.33781,-0.19881,-0.58698,0.30841,-0.33234,-0.03929,-0.31872,0.12392
79,199,-0.57772,-0.19125,0.22301,1.16176,-0.85607,0.37909,-0.27923,-0.16616,-1.04615,0.14573,-0.41169,0.39723,0.81770,-0.24734,-0.89459,-0.74579
